variant,BLOCK_M,BLOCK_N,num_warps,num_stages,tflops
dense,64,32,4,2,60.93
dense,64,32,4,3,59.49
dense,64,32,4,4,59.56
dense,64,32,8,2,31.16
dense,64,32,8,3,31.17
dense,64,32,8,4,32.66
dense,64,64,4,2,67.38
dense,64,64,4,3,64.12
dense,64,64,4,4,47.00
dense,64,64,8,2,31.24
dense,64,64,8,3,33.08
dense,64,64,8,4,30.13
dense,128,32,4,2,50.89
dense,128,32,4,3,50.53
dense,128,32,4,4,50.38
dense,128,32,8,2,57.26
dense,128,32,8,3,58.25
dense,128,32,8,4,58.19
dense,128,64,4,2,52.05
dense,128,64,4,3,50.38
dense,128,64,4,4,37.26
dense,128,64,8,2,59.92
dense,128,64,8,3,60.06
dense,128,64,8,4,55.07
causal,64,32,4,2,100.97
causal,64,32,4,3,103.99
causal,64,32,4,4,104.42
causal,64,32,8,2,53.26
causal,64,32,8,3,53.83
causal,64,32,8,4,53.63
causal,64,64,4,2,102.30
causal,64,64,4,3,94.79
causal,64,64,4,4,74.90
causal,64,64,8,2,56.68
causal,64,64,8,3,56.14
causal,64,64,8,4,51.70
causal,128,32,4,2,75.52
causal,128,32,4,3,83.26
causal,128,32,4,4,82.85
causal,128,32,8,2,92.35
causal,128,32,8,3,95.42
causal,128,32,8,4,95.69
causal,128,64,4,2,85.74
causal,128,64,4,3,83.47
causal,128,64,4,4,62.76
causal,128,64,8,2,94.25
causal,128,64,8,3,97.64
causal,128,64,8,4,90.52
