variant,dtype,BLOCK_M,BLOCK_N,num_warps,num_stages,tflops
dense,float16,64,32,4,2,60.93
dense,float16,64,32,4,3,59.42
dense,float16,64,32,4,4,59.49
dense,float16,64,32,8,2,31.20
dense,float16,64,32,8,3,31.27
dense,float16,64,32,8,4,32.10
dense,float16,64,64,4,2,65.45
dense,float16,64,64,4,3,61.91
dense,float16,64,64,4,4,47.26
dense,float16,64,64,8,2,31.27
dense,float16,64,64,8,3,31.82
dense,float16,64,64,8,4,28.89
dense,float16,128,32,4,2,48.79
dense,float16,128,32,4,3,50.56
dense,float16,128,32,4,4,50.43
dense,float16,128,32,8,2,57.33
dense,float16,128,32,8,3,58.29
dense,float16,128,32,8,4,58.25
dense,float16,128,64,4,2,52.05
dense,float16,128,64,4,3,50.41
dense,float16,128,64,4,4,37.26
dense,float16,128,64,8,2,59.85
dense,float16,128,64,8,3,60.06
dense,float16,128,64,8,4,55.31
causal,float16,64,32,4,2,101.27
causal,float16,64,32,4,3,104.10
causal,float16,64,32,4,4,104.75
causal,float16,64,32,8,2,52.98
causal,float16,64,32,8,3,54.00
causal,float16,64,32,8,4,53.92
causal,float16,64,64,4,2,102.51
causal,float16,64,64,4,3,95.14
causal,float16,64,64,4,4,74.57
causal,float16,64,64,8,2,56.49
causal,float16,64,64,8,3,56.62
causal,float16,64,64,8,4,51.73
causal,float16,128,32,4,2,75.80
causal,float16,128,32,4,3,82.58
causal,float16,128,32,4,4,83.06
causal,float16,128,32,8,2,92.35
causal,float16,128,32,8,3,95.23
causal,float16,128,32,8,4,95.14
causal,float16,128,64,4,2,86.04
causal,float16,128,64,4,3,83.19
causal,float16,128,64,4,4,62.84
causal,float16,128,64,8,2,94.79
causal,float16,128,64,8,3,96.98
causal,float16,128,64,8,4,89.88
