N,BLOCK_M,BLOCK_N,num_warps,num_stages,fwd_bwd_ms
512,32,64,4,2,0.703
512,64,32,4,2,0.694
512,64,64,4,2,0.705
512,64,64,8,2,0.677
512,64,128,4,2,0.690
512,64,128,8,2,0.712
512,128,32,4,2,0.687
512,128,64,4,2,0.712
512,128,64,8,2,0.698
1024,32,64,4,2,0.911
1024,64,32,4,2,0.759
1024,64,64,4,2,0.777
1024,64,64,8,2,1.256
1024,64,128,4,2,1.065
1024,64,128,8,2,1.175
1024,128,32,4,2,0.712
1024,128,64,4,2,0.884
1024,128,64,8,2,0.866
2048,32,64,4,2,2.816
2048,64,32,4,2,2.331
2048,64,64,4,2,2.319
2048,64,64,8,2,3.900
2048,64,128,4,2,3.163
2048,64,128,8,2,3.954
2048,128,32,4,2,2.377
2048,128,64,4,2,2.900
2048,128,64,8,2,2.875
4096,32,64,4,2,10.236
4096,64,32,4,2,8.428
4096,64,64,4,2,8.369
4096,64,64,8,2,14.526
4096,64,128,4,2,11.222
4096,64,128,8,2,14.288
4096,128,32,4,2,8.443
4096,128,64,4,2,10.359
4096,128,64,8,2,10.361
