N,BLOCK_M,BLOCK_N,num_warps,num_stages,latency_ms
1024,64,32,4,2,0.4516
1024,64,64,4,2,0.5530
1024,64,64,8,2,0.5274
1024,128,32,4,2,0.4372
1024,128,32,8,2,0.4844
1024,128,64,4,2,0.5366
1024,128,64,8,2,0.4567
1024,128,128,8,2,0.4577
2048,64,32,4,2,1.5549
2048,64,64,4,2,1.7367
2048,64,64,8,2,1.7219
2048,128,32,4,2,1.2611
2048,128,32,8,2,1.4510
2048,128,64,4,2,1.5969
2048,128,64,8,2,1.3798
2048,128,128,8,2,1.3568
4096,64,32,4,2,5.4973
4096,64,64,4,2,6.5843
4096,64,64,8,2,6.4860
4096,128,32,4,2,4.6356
4096,128,32,8,2,5.3658
4096,128,64,4,2,5.8977
4096,128,64,8,2,5.0688
4096,128,128,8,2,5.0350
