model,H_q,H_kv,group_size,seqlen,backend,latency_ms,tflops,speedup_vs_flex
llama3-8B,32,8,4,512,attnfuse,0.070,61.19,1.00
llama3-8B,32,8,4,512,flex,0.048,89.27,0.69
llama3-8B,32,8,4,1024,attnfuse,0.200,85.85,1.00
llama3-8B,32,8,4,1024,flex,0.084,204.44,0.42
llama3-8B,32,8,4,2048,attnfuse,0.633,108.57,1.00
llama3-8B,32,8,4,2048,flex,0.248,276.58,0.39
llama3-8B,32,8,4,4096,attnfuse,2.212,124.24,1.00
llama3-8B,32,8,4,4096,flex,0.882,311.78,0.40
llama3-70B,64,8,8,512,attnfuse,0.140,61.43,1.00
llama3-70B,64,8,8,512,flex,0.057,150.38,0.41
llama3-70B,64,8,8,1024,attnfuse,0.353,97.29,1.00
llama3-70B,64,8,8,1024,flex,0.152,226.46,0.43
llama3-70B,64,8,8,2048,attnfuse,1.173,117.21,1.00
llama3-70B,64,8,8,2048,flex,0.464,295.93,0.40
llama3-70B,64,8,8,4096,attnfuse,4.257,129.14,1.00
llama3-70B,64,8,8,4096,flex,1.787,307.70,0.42
falcon-MQA,64,1,64,512,attnfuse,0.142,60.56,1.00
falcon-MQA,64,1,64,512,flex,0.056,152.87,0.40
falcon-MQA,64,1,64,1024,attnfuse,0.353,97.22,1.00
falcon-MQA,64,1,64,1024,flex,0.151,227.75,0.43
falcon-MQA,64,1,64,2048,attnfuse,1.172,117.23,1.00
falcon-MQA,64,1,64,2048,flex,0.463,296.94,0.39
falcon-MQA,64,1,64,4096,attnfuse,4.267,128.85,1.00
falcon-MQA,64,1,64,4096,flex,1.754,313.36,0.41
